id;ta;td
1;2015-11-12 08:12:28;2015-11-12 08:18:24
2;2015-11-12 08:13:06;2015-11-12 08:25:44
3;2015-11-12 08:25:11;2015-11-12 08:25:59
4;2015-11-12 08:37:19;2015-11-12 08:37:41
5;2015-11-12 08:38:03;2015-11-12 08:45:06
6;2015-11-12 08:39:59;2015-11-12 08:49:38
7;2015-11-12 09:02:13;2015-11-12 09:03:57
8;2015-11-12 09:18:11;2015-11-12 09:30:32
9;2015-11-12 09:20:04;2015-11-12 09:32:58
10;2015-11-12 09:28:15;2015-11-12 10:08:15
11;2015-11-12 09:35:58;2015-11-12 10:11:55
12;2015-11-12 09:42:57;2015-11-12 10:15:04
13;2015-11-12 09:44:54;2015-11-12 10:27:14
14;2015-11-12 09:59:26;2015-11-12 10:36:36
15;2015-11-12 10:01:35;2015-11-12 10:46:46
16;2015-11-12 10:09:54;2015-11-12 10:50:16
17;2015-11-12 10:13:09;2015-11-12 10:53:06
18;2015-11-12 10:17:47;2015-11-12 11:03:37
19;2015-11-12 10:18:09;2015-11-12 11:08:45
20;2015-11-12 10:28:53;2015-11-12 11:08:45
21;2015-11-12 10:36:44;2015-11-12 11:09:23
22;2015-11-12 10:43:53;2015-11-12 11:13:54
23;2015-11-12 10:44:04;2015-11-12 11:18:39
24;2015-11-12 10:46:28;2015-11-12 11:24:17
25;2015-11-12 10:47:48;2015-11-12 11:24:32
26;2015-11-12 10:52:56;2015-11-12 11:34:58
27;2015-11-12 11:01:38;2015-11-12 11:38:57
28;2015-11-12 11:08:01;2015-11-12 11:40:32
29;2015-11-12 11:08:35;2015-11-12 11:42:55
30;2015-11-12 11:22:44;2015-11-12 11:52:02
31;2015-11-12 11:32:16;2015-11-12 12:01:59
32;2015-11-12 11:36:59;2015-11-12 12:03:10
33;2015-11-12 11:42:52;2015-11-12 12:15:16
34;2015-11-12 11:54:22;2015-11-12 12:46:51
35;2015-11-12 12:29:58;2015-11-12 12:47:42
36;2015-11-12 12:34:19;2015-11-12 12:49:51
37;2015-11-12 13:38:21;2015-11-12 13:50:51
38;2015-11-12 13:47:09;2015-11-12 13:52:09
39;2015-11-12 13:50:57;2015-11-12 13:57:00
40;2015-11-12 13:55:48;2015-11-12 14:20:49
41;2015-11-12 14:02:34;2015-11-12 14:29:18
42;2015-11-12 14:03:56;2015-11-12 14:36:14
43;2015-11-12 14:08:47;2015-11-12 14:44:26
44;2015-11-12 14:28:34;2015-11-12 14:45:19
45;2015-11-12 14:32:48;2015-11-12 14:51:03
46;2015-11-12 14:46:40;2015-11-12 14:51:51
47;2015-11-12 14:46:49;2015-11-12 14:57:04
48;2015-11-12 14:52:04;2015-11-12 14:57:45
49;2015-11-12 15:00:16;2015-11-12 15:00:17
50;2015-11-12 15:01:40;2015-11-12 15:05:14
51;2015-11-12 15:05:58;2015-11-12 15:08:43
52;2015-11-12 15:21:10;2015-11-12 15:30:26
53;2015-11-12 15:25:25;2015-11-12 15:37:42
54;2015-11-12 15:36:00;2015-11-12 15:45:23
55;2015-11-12 15:40:06;2015-11-12 15:50:30
56;2015-11-12 15:42:42;2015-11-12 15:53:06
57;2015-11-12 15:52:23;2015-11-12 15:55:05
58;2015-11-12 15:59:28;2015-11-12 16:02:25
59;2015-11-12 16:04:03;2015-11-12 16:11:56
60;2015-11-12 16:10:51;2015-11-12 16:15:01
61;2015-11-12 16:15:06;2015-11-12 16:27:25
62;2015-11-12 16:32:35;2015-11-12 16:34:11
63;2015-11-12 16:35:28;2015-11-12 16:50:10
64;2015-11-12 16:37:09;2015-11-12 17:13:32
65;2015-11-12 17:03:40;2015-11-12 17:19:12
66;2015-11-12 17:16:06;2015-11-12 17:25:55
67;2015-11-12 17:33:23;2015-11-12 17:38:18
68;2015-11-12 17:48:52;2015-11-12 17:54:17
