CURRENT_LOCATION;ID;td;ta;lag(td);tdq;S
Accueil_General_1;18;2015-11-12T08:46:20Z;2015-11-12T08:27:26Z;NA;2015-11-12T08:27:26Z;1133,897000074387
Accueil_General_1;21;2015-11-12T08:53:24Z;2015-11-12T08:39:34Z;2015-11-12T08:46:20Z;2015-11-12T08:46:20Z;424,149999856949
Accueil_General_1;39;2015-11-12T09:27:32Z;2015-11-12T09:20:25Z;2015-11-12T08:53:24Z;2015-11-12T09:20:25Z;426,410000085831
Accueil_General_1;99;2015-11-12T10:55:21Z;2015-11-12T10:48:04Z;2015-11-12T09:27:32Z;2015-11-12T10:48:04Z;437,118999958038
Accueil_General_1;134;2015-11-12T11:42:04Z;2015-11-12T11:36:28Z;2015-11-12T10:55:21Z;2015-11-12T11:36:28Z;336,423000097275
Accueil_General_1;138;2015-11-12T11:49:39Z;2015-11-12T11:45:06Z;2015-11-12T11:42:04Z;2015-11-12T11:45:06Z;272,478000164032
Accueil_General_1;166;2015-11-12T13:44:20Z;2015-11-12T13:40:35Z;2015-11-12T11:49:39Z;2015-11-12T13:40:35Z;224,674000024796
Accueil_General_1;170;2015-11-12T13:54:18Z;2015-11-12T13:49:24Z;2015-11-12T13:44:20Z;2015-11-12T13:49:24Z;293,624000072479
Accueil_General_1;191;2015-11-12T14:20:56Z;2015-11-12T14:12:58Z;2015-11-12T13:54:18Z;2015-11-12T14:12:58Z;478,314000129700
Accueil_General_1;210;2015-11-12T14:37:31Z;2015-11-12T14:30:49Z;2015-11-12T14:20:56Z;2015-11-12T14:30:49Z;402,263999938965
Accueil_General_1;237;2015-11-12T15:10:54Z;2015-11-12T15:04:28Z;2015-11-12T14:37:31Z;2015-11-12T15:04:28Z;386,637000083923
Accueil_General_1;242;2015-11-12T15:15:09Z;2015-11-12T15:08:12Z;2015-11-12T15:10:54Z;2015-11-12T15:10:54Z;255,049000024796
Accueil_General_1;253;2015-11-12T15:27:48Z;2015-11-12T15:23:24Z;2015-11-12T15:15:09Z;2015-11-12T15:23:24Z;264,075999975204
Accueil_General_1;279;2015-11-12T16:19:17Z;2015-11-12T16:15:02Z;2015-11-12T15:27:48Z;2015-11-12T16:15:02Z;254,582000017166
Accueil_General_1;287;2015-11-12T16:42:30Z;2015-11-12T16:39:24Z;2015-11-12T16:19:17Z;2015-11-12T16:39:24Z;186,294999837875
Accueil_General_1;298;2015-11-12T17:56:10Z;2015-11-12T17:51:07Z;2015-11-12T16:42:30Z;2015-11-12T17:51:07Z;303,091000080109
Accueil_General_2;10;2015-11-12T08:33:50Z;2015-11-12T08:17:17Z;NA;2015-11-12T08:17:17Z;992,441000223160
Accueil_General_2;53;2015-11-12T09:47:37Z;2015-11-12T09:40:10Z;2015-11-12T08:33:50Z;2015-11-12T09:40:10Z;447,419999837875
Accueil_General_2;59;2015-11-12T09:53:26Z;2015-11-12T09:47:08Z;2015-11-12T09:47:37Z;2015-11-12T09:47:37Z;349,042000055313
Accueil_General_2;94;2015-11-12T10:43:05Z;2015-11-12T10:38:59Z;2015-11-12T09:53:26Z;2015-11-12T10:38:59Z;246,130000114441
Accueil_General_2;104;2015-11-12T10:58:07Z;2015-11-12T10:48:43Z;2015-11-12T10:43:05Z;2015-11-12T10:48:43Z;564,069999933243
Accueil_General_2;116;2015-11-12T11:15:16Z;2015-11-12T11:05:49Z;2015-11-12T10:58:07Z;2015-11-12T11:05:49Z;566,305999994278
Accueil_General_2;123;2015-11-12T11:18:22Z;2015-11-12T11:10:50Z;2015-11-12T11:15:16Z;2015-11-12T11:15:16Z;186,556999921799
Accueil_General_2;153;2015-11-12T12:44:18Z;2015-11-12T12:38:30Z;2015-11-12T11:18:22Z;2015-11-12T12:38:30Z;347,628999948502
Accueil_General_2;181;2015-11-12T14:06:26Z;2015-11-12T13:59:59Z;2015-11-12T12:44:18Z;2015-11-12T13:59:59Z;386,313999891281
Accueil_General_2;255;2015-11-12T15:35:34Z;2015-11-12T15:29:37Z;2015-11-12T14:06:26Z;2015-11-12T15:29:37Z;356,744999885559
